date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:19%20GMT	https://bloxsense.pub/robots.txt		(from )
20:53:21	1468/1468	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Feb%202022%2011:16:35%20GMT	https://bloxsense.pub/	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/index.html	(from )
20:53:21	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2021%20Jul%202021%2009:43:21%20GMT	https://bloxsense.pub/favicon.ico	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/favicon.ico	(from https://bloxsense.pub/)
20:53:22	4142/4142	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Sep%202021%2012:52:20%20GMT	https://bloxsense.pub/static/css/style.css	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/css/style.css	(from https://bloxsense.pub/)
20:53:23	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Sep%202021%2012:52:20%20GMT	https://bloxsense.pub/static/css/font-awesome.min.css	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/css/font-awesome.min.css	(from https://bloxsense.pub/)
20:53:24	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Users/barto/Desktop/sites/bloxsense/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://bloxsense.pub/)
20:53:25	111799/111799	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Sep%202021%2012:52:21%20GMT	https://bloxsense.pub/static/css/bootstrap.min.css	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/css/bootstrap.min.css	(from https://bloxsense.pub/)
20:53:25	35951/35951	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:03:58%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.4/js/bootstrap.min.js	C:/Users/barto/Desktop/sites/bloxsense/maxcdn.bootstrapcdn.com/bootstrap/3.3.4/js/bootstrap.min.js	(from https://bloxsense.pub/)
20:53:26	9054/9054	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Sep%202021%2012:51:56%20GMT	https://bloxsense.pub/static/js/scrollreveal.mjs	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/js/scrollreveal.html	(from https://bloxsense.pub/)
20:53:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:26%20GMT	https://bloxsense.pub/static/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/fontawesome-webfont.73e6e.delayed	(from https://bloxsense.pub/static/css/font-awesome.min.css)
20:53:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:27%20GMT	https://bloxsense.pub/static/fonts/fontawesome-webfont.eot?	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/fontawesome-webfont.8d41d.delayed	(from https://bloxsense.pub/static/css/font-awesome.min.css)
20:53:29	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Feb%202022%2011:10:33%20GMT	https://bloxsense.pub/static/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/fontawesome-webfont3e6e.woff2	(from https://bloxsense.pub/static/css/font-awesome.min.css)
20:53:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:29%20GMT	https://bloxsense.pub/static/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/fontawesome-webfont.a3e6e.delayed	(from https://bloxsense.pub/static/css/font-awesome.min.css)
20:53:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:30%20GMT	https://bloxsense.pub/static/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/fontawesome-webfont.b3e6e.delayed	(from https://bloxsense.pub/static/css/font-awesome.min.css)
20:53:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:31%20GMT	https://bloxsense.pub/static/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/fontawesome-webfont.c3e6e.delayed	(from https://bloxsense.pub/static/css/font-awesome.min.css)
20:53:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:31%20GMT	https://bloxsense.pub/static/fonts/glyphicons-halflings-regular.eot	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/glyphicons-halflings-regular.d.delayed	(from https://bloxsense.pub/static/css/bootstrap.min.css)
20:53:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:32%20GMT	https://bloxsense.pub/static/fonts/glyphicons-halflings-regular.eot?	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/glyphicons-halflings-regular.ed41d.delayed	(from https://bloxsense.pub/static/css/bootstrap.min.css)
20:53:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:33%20GMT	https://bloxsense.pub/static/fonts/glyphicons-halflings-regular.woff2	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/glyphicons-halflings-regular.f.delayed	(from https://bloxsense.pub/static/css/bootstrap.min.css)
20:53:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:34%20GMT	https://bloxsense.pub/static/fonts/glyphicons-halflings-regular.woff	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/glyphicons-halflings-regular.10.delayed	(from https://bloxsense.pub/static/css/bootstrap.min.css)
20:53:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:35%20GMT	https://bloxsense.pub/static/fonts/glyphicons-halflings-regular.ttf	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/glyphicons-halflings-regular.11.delayed	(from https://bloxsense.pub/static/css/bootstrap.min.css)
20:53:37	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Apr%202022%2018:53:36%20GMT	https://bloxsense.pub/static/fonts/glyphicons-halflings-regular.svg	C:/Users/barto/Desktop/sites/bloxsense/bloxsense.pub/static/fonts/glyphicons-halflings-regular.12.delayed	(from https://bloxsense.pub/static/css/bootstrap.min.css)
